	TranscriptionName	modifiers	Annotation
220	Vorobiovy	1	1
221	Vorobiovy	1	0
222	Vorobiovy	0	0
223	Vorobiovy	0	0
224	clouds_gavrilovy	1	1
225	clouds_gavrilovy	1	0
226	clouds_gavrilovy	1	1
227	clouds_gavrilovy	1	0
228	clouds_gavrilovy	1	0
229	clouds_gavrilovy	1	1
230	clouds_gavrilovy	1	1
231	clouds_gavrilovy	1	0
232	clouds_gavrilovy	0	0
233	clouds_gavrilovy	0	0
234	clouds_gavrilovy	0	0
235	clouds_gavrilovy	1	1
236	clouds_gavrilovy	1	1
237	clouds_gavrilovy	1	0
238	clouds_gavrilovy	1	1
239	clouds_gavrilovy	1	1
240	clouds_gavrilovy	1	1
241	Zabelina_Igonina	1	0
242	Zabelina_Igonina	1	1
243	Zabelina_Igonina	1	0
244	Zabelina_Igonina	1	0
245	Zabelina_Igonina	0	0
246	Zabelina_Igonina	0	0
247	Zabelina_Igonina	1	1
248	Zabelina_Igonina	0	1
249	Zabelina_Igonina	0	1
250	Zabelina_Igonina	0	1
251	Zabelina_Igonina	0	1
252	Zabelina_Igonina	0	1
253	Zabelina_Igonina	1	1
254	Zabelina_Igonina	0	1
255	Zabelina_Igonina	0	1
256	Zabelina_Igonina	1	1
257	Zabelina_Igonina	1	0
258	Zabelina_Igonina	1	1
259	Zabelina_Igonina	0	0
260	Zabelina_Igonina	0	0
261	Zabelina_Igonina	1	1
262	Zabelina_Igonina	0	1
263	Zabelina_Igonina	0	1
264	Zabelina_Igonina	0	1
265	Zabelina_Igonina	1	0
266	Zabelina_Igonina	0	0
267	Zabelina_Igonina	0	0
268	Zabelina_Igonina	1	0
269	Zabelina_Igonina	0	1
270	Zabelina_Igonina	0	1
271	Zabelina_Igonina	1	1
272	Zabelina_Igonina	1	1
273	Zabelina_Igonina	1	0
274	Zabelina_Igonina	1	1
275	Zabelina_Igonina	1	1
276	Zabelina_Igonina	1	1
277	Zabelina_Igonina	1	1
278	Zabelina_Igonina	0	1
279	Zabelina_Igonina	0	0
280	Zabelina_Igonina	1	0
281	Zabelina_Igonina	1	1
282	Zabelina_Igonina	1	1
283	Zabelina_Igonina	0	1
284	Zabelina_Igonina	0	0
285	Zabelina_Igonina	1	0
286	Zabelina_Igonina	0	0
287	Zabelina_Igonina	0	0
288	Zabelina_Igonina	1	0
289	Zabelina_Igonina	0	0
290	Zabelina_Igonina	0	0
291	Zimina_Zorina	1	1
292	Zimina_Zorina	0	1
293	Zimina_Zorina	0	1
294	Zimina_Zorina	1	1
295	Zimina_Zorina	1	1
296	Zimina_Zorina	1	1
297	Zimina_Zorina	0	1
298	Zimina_Zorina	0	1
299	Zimina_Zorina	1	1
300	Zimina_Zorina	1	1
301	Zimina_Zorina	1	1
302	Zimina_Zorina	1	1
303	Zimina_Zorina	1	1
304	Zimina_Zorina	1	1
305	Zimina_Zorina	1	1
306	Zimina_Zorina	0	1
307	Zimina_Zorina	0	1
308	Zimina_Zorina	1	0
309	Zimina_Zorina	1	1
310	Zimina_Zorina	1	1
311	Zimina_Zorina	1	1
312	Zimina_Zorina	1	1
313	Zimina_Zorina	1	1
314	Zimina_Zorina	1	1
315	Zimina_Zorina	1	1
316	Zimina_Zorina	1	1
317	Zimina_Zorina	0	1
318	Zimina_Zorina	0	1
319	Zimina_Zorina	0	1
320	Zimina_Zorina	0	1
321	Zimina_Zorina	1	1
322	Zimina_Zorina	1	1
323	Zimina_Zorina	1	1
324	Zimina_Zorina	1	1
325	Zimina_Zorina	1	1
326	Zimina_Zorina	0	1
327	Zimina_Zorina	0	0
328	Zimina_Zorina	0	1
329	Zimina_Zorina	0	1
330	Zimina_Zorina	0	1
331	Zimina_Zorina	0	1
332	Zimina_Zorina	0	0
333	Zimina_Zorina	0	0
334	Zimina_Zorina	1	1
335	Zimina_Zorina	1	1
336	Zimina_Zorina	1	1
337	Zimina_Zorina	1	1
338	Zimina_Zorina	1	1
339	Zimina_Zorina	1	1
340	Zimina_Zorina	1	1
341	Zimina_Zorina	1	1
342	zorina_schadrina	1	1
343	zorina_schadrina	1	1
345	zorina_schadrina	0	0
346	zorina_schadrina	0	0
347	zorina_schadrina	0	0
348	zorina_schadrina	1	1
349	zorina_schadrina	1	1
350	zorina_schadrina	0	1
351	zorina_schadrina	0	1
352	zorina_schadrina	0	1
353	zorina_schadrina	0	1
354	zorina_schadrina	1	1
355	zorina_schadrina	0	1
356	zorina_schadrina	0	1
357	zorina_schadrina	1	1
358	zorina_schadrina	1	0
359	zorina_schadrina	1	0
360	zorina_schadrina	0	0
361	zorina_schadrina	0	0
362	zorina_schadrina	1	0
363	zorina_schadrina	1	1
364	zorina_schadrina	0	1
365	zorina_schadrina	0	0
366	zorina_schadrina	0	0
367	zorina_schadrina	0	0
368	zorina_schadrina	1	0
369	zorina_schadrina	1	1
370	zorina_schadrina	0	0
371	zorina_schadrina	0	0
372	zorina_schadrina	0	1
373	zorina_schadrina	0	1
374	zorina_schadrina	1	0
375	zorina_schadrina	1	0
376	zorina_schadrina	0	0
377	zorina_schadrina	0	0
378	zorina_schadrina	1	0
379	zorina_schadrina	1	0
380	zorina_schadrina	1	0
381	zorina_schadrina	0	1
382	zorina_schadrina	0	1
383	zorina_schadrina	1	1
384	zorina_schadrina	1	1
385	zorina_schadrina	0	1
386	zorina_schadrina	0	1
387	zorina_schadrina	1	1
388	zorina_schadrina	0	1
389	zorina_schadrina	0	1
390	zorina_schadrina	1	1
391	zorina_schadrina	1	1
392	zorina_schadrina	1	1
393	zorina_schadrina	1	1
394	zorina_schadrina	1	1
395	zorina_schadrina	1	1
396	zorina_schadrina	1	1
397	zorina_schadrina	1	1
398	zorina_schadrina	1	1
399	zorina_schadrina	1	1
400	zorina_schadrina	0	1
401	zorina_schadrina	0	1
402	zorina_schadrina	1	1
403	zorina_schadrina	1	0
404	zorina_schadrina	1	1
405	zorina_schadrina	0	1
406	zorina_schadrina	0	1
407	zorina_schadrina	1	1
408	zorina_schadrina	1	1
409	zorina_schadrina	1	1
410	zorina_schadrina	1	1
411	zorina_schadrina	1	1
412	zorina_schadrina	1	1
413	zorina_schadrina	1	1
414	zorina_schadrina	0	1
415	zorina_schadrina	0	1
416	zorina_schadrina	0	1
417	zorina_schadrina	0	0
418	zorina_schadrina	0	1
419	zorina_schadrina	0	1
420	zorina_schadrina	1	1
421	zorina_schadrina	0	1
422	zorina_schadrina	0	0
423	zorina_schadrina	0	1
424	zorina_schadrina	0	1
425	zorina_schadrina	0	1
426	zorina_schadrina	0	1
427	zorina_schadrina	1	1
428	zorina_schadrina	0	1
429	zorina_schadrina	0	1
430	zorina_schadrina	1	0
431	zorina_schadrina	1	0
432	zorina_schadrina	1	0
433	zorina_schadrina	1	1
434	zorina_schadrina	1	0
435	zorina_schadrina	1	1
436	zorina_schadrina	1	1
437	zorina_schadrina	1	1
438	zorina_schadrina	0	1
439	zorina_schadrina	0	0
440	zorina_schadrina	0	1
441	zorina_schadrina	0	0
442	zorina_schadrina	0	1
443	zorina_schadrina	0	0
444	zorina_schadrina	1	1
445	zorina_schadrina	1	1
446	zorina_schadrina	0	1
447	zorina_schadrina	0	0
448	zorina_schadrina	0	1
449	zorina_schadrina	0	0
450	zorina_schadrina	1	1
451	zorina_schadrina	1	0
452	zorina_schadrina	0	0
453	zorina_schadrina	0	0
454	zorina_schadrina	1	1
455	zorina_schadrina	0	0
456	zorina_schadrina	0	0
457	zorina_schadrina	0	0
458	zorina_schadrina	0	0
459	zorina_schadrina	0	1
460	zorina_schadrina	0	0
461	zorina_schadrina	1	0
462	zorina_schadrina	0	0
463	zorina_schadrina	0	0
464	zorina_schadrina	1	1
465	zorina_schadrina	1	0
466	zorina_schadrina	1	1
467	zorina_schadrina	0	1
468	zorina_schadrina	0	0
469	zorina_schadrina	0	0
470	zorina_schadrina	0	0
471	zorina_schadrina	1	1
472	zorina_schadrina	0	1
473	zorina_schadrina	0	1
474	zorina_schadrina	0	1
475	zorina_schadrina	0	0
476	zorina_schadrina	1	0
477	zorina_schadrina	1	1
478	zorina_schadrina	0	1
479	zorina_schadrina	0	0
480	zorina_schadrina	1	1
481	zorina_schadrina	0	1
482	zorina_schadrina	0	1
483	zorina_schadrina	1	1
484	zorina_schadrina	1	1
485	zorina_schadrina	1	1
486	zorina_schadrina	0	1
487	zorina_schadrina	0	0
488	zorina_schadrina	1	1
489	zorina_schadrina	1	1
490	zorina_schadrina	1	1
491	zorina_schadrina	1	1
492	zorina_schadrina	1	1
493	zorina_schadrina	1	1
494	zorina_schadrina	1	1
495	zorina_schadrina	1	1
496	zorina_schadrina	1	1
497	zorina_schadrina	1	1
498	zorina_schadrina	0	1
499	zorina_schadrina	0	0
500	zorina_schadrina	1	1
501	zorina_schadrina	1	1
502	zorina_schadrina	1	0
503	zorina_schadrina	1	1
504	zorina_schadrina	1	1
505	zorina_schadrina	0	1
506	zorina_schadrina	0	0
507	zorina_schadrina	1	1
508	zorina_schadrina	1	0
509	zorina_schadrina	0	1
510	zorina_schadrina	0	1
